,player,date,opp,result,min,fgm-a,3pm-a,ftm-a,oreb,dreb,reb,ast,stl,blk,to,pf,pts
0,rebecca-allen,"SEP 03, 2017",NYL @ DAL,W,9,0 - 1,0 - 1,0 - 0,0,1,1,0,0,1,0,2,0
1,rebecca-allen,"SEP 01, 2017",NYL vs. SAN,W,6,2 - 3,0 - 0,0 - 0,0,0,0,0,0,0,0,1,4
2,rebecca-allen,"AUG 27, 2017",NYL vs. CHI,W,22,4 - 9,1 - 3,0 - 0,0,1,1,2,3,0,1,0,9
3,rebecca-allen,"AUG 25, 2017",NYL vs. WAS,W,3,1 - 1,0 - 0,0 - 0,0,1,1,0,0,0,0,1,2
4,rebecca-allen,"AUG 23, 2017",NYL @ IND,W,10,0 - 1,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0
5,rebecca-allen,"AUG 20, 2017",NYL vs. MIN,W,3,1 - 1,0 - 0,0 - 0,0,1,1,0,0,0,0,0,2
6,rebecca-allen,"AUG 18, 2017",NYL @ CON,W,12,1 - 2,1 - 2,0 - 0,0,4,4,2,0,0,1,2,3
7,rebecca-allen,"AUG 13, 2017",NYL vs. LAS,W,4,0 - 1,0 - 0,0 - 0,0,2,2,1,0,1,0,0,0
8,rebecca-allen,"AUG 11, 2017",NYL @ ATL,W,9,0 - 2,0 - 0,2 - 2,0,1,1,1,0,0,0,0,2
9,rebecca-allen,"AUG 08, 2017",NYL vs. IND,W,7,2 - 5,0 - 2,0 - 0,2,1,3,0,1,0,2,0,4
10,rebecca-allen,"AUG 04, 2017",NYL @ LAS,L,12,2 - 5,0 - 2,0 - 2,0,4,4,2,0,0,0,3,4
11,rebecca-allen,"AUG 01, 2017",NYL @ SAN,L,7,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,1,2,0
12,rebecca-allen,"JUL 30, 2017",NYL @ CHI,W,14,3 - 5,2 - 2,0 - 0,0,3,3,1,0,0,0,3,8
13,rebecca-allen,"JUL 28, 2017",NYL @ IND,W,7,0 - 2,0 - 0,0 - 0,1,2,3,0,0,0,0,0,0
14,rebecca-allen,"JUL 25, 2017",NYL @ MIN,L,17,3 - 6,2 - 5,0 - 0,2,2,4,2,1,1,2,1,8
15,rebecca-allen,"JUL 19, 2017",NYL vs. CON,W,10,3 - 5,1 - 2,0 - 0,2,1,3,0,0,0,2,0,7
16,rebecca-allen,"JUL 16, 2017",NYL vs. WAS,W,17,3 - 7,2 - 3,0 - 0,0,2,2,0,1,1,1,1,8
17,rebecca-allen,"JUL 14, 2017",NYL vs. CHI,L,6,1 - 1,0 - 0,0 - 0,0,0,0,0,0,0,0,0,2
18,rebecca-allen,"JUL 09, 2017",NYL @ PHO,L,12,1 - 3,0 - 0,0 - 1,0,1,1,0,0,0,0,0,2
19,rebecca-allen,"JUL 06, 2017",NYL @ SEA,W,8,1 - 3,0 - 2,0 - 0,1,1,2,0,0,0,0,2,2
20,rebecca-allen,"JUL 02, 2017",NYL @ ATL,L,7,1 - 4,1 - 3,0 - 0,0,1,1,0,1,1,0,2,3
21,rebecca-allen,"JUN 29, 2017",NYL @ WAS,L,9,0 - 3,0 - 2,0 - 0,0,3,3,1,0,0,3,0,0
22,rebecca-allen,"JUN 23, 2017",NYL vs. CON,L,2,0 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0
23,rebecca-allen,"JUN 16, 2017",NYL @ DAL,W,7,0 - 1,0 - 1,0 - 0,0,2,2,0,0,0,0,1,0
24,rebecca-allen,"JUN 14, 2017",NYL @ CON,L,13,1 - 3,1 - 1,0 - 0,0,2,2,1,2,2,4,0,3
25,rebecca-allen,"JUN 11, 2017",NYL vs. SEA,W,10,1 - 2,1 - 2,0 - 0,0,4,4,1,0,0,0,2,3
26,rebecca-allen,"JUN 07, 2017",NYL vs. ATL,W,9,2 - 5,1 - 3,0 - 0,0,2,2,2,0,2,0,2,5
27,rebecca-allen,"JUN 04, 2017",NYL vs. PHO,W,6,2 - 3,0 - 0,0 - 1,0,1,1,0,0,1,0,1,4
28,rebecca-allen,"JUN 02, 2017",NYL vs. DAL,W,3,0 - 1,0 - 0,0 - 0,0,1,1,1,0,0,1,1,0
